,user1,user2,weight,time_window
0,3327831430,882965185237065728,159,i
1,2535751839,80200885,145,i
2,3327831430,80200885,143,i
3,273897097,4085520207,138,i
4,1021332450893541376,469212336,132,i
5,806911096678400000,1012893330,110,i
6,710579736519512064,80200885,110,i
7,1168820341092868096,80200885,110,i
8,1179592608886198273,1012893330,108,i
9,2535751839,886683069964484609,107,i
10,1089107530247221249,80200885,105,i
11,882965185237065728,80200885,102,i
12,710579736519512064,1063806444380798976,96,i
13,304449851,80200885,96,i
14,1089107530247221249,1063806444380798976,94,i
15,580096126,886683069964484609,88,i
16,1090595328460509190,886683069964484609,87,i
17,704779333307650048,80200885,86,i
18,1090595328460509190,882965185237065728,85,i
19,1029467541624770561,80200885,81,i
20,1021876093157036033,1012893330,78,i
21,896048840947765249,80200885,78,i
22,304449851,873992653704220676,78,i
23,3327831430,886683069964484609,77,i
24,2498940386,886683069964484609,77,i
25,1090595328460509190,4085520207,77,i
26,273897097,80200885,77,i
27,580096126,1063806444380798976,77,i
28,80200885,1063806444380798976,76,i
29,1007797177408806912,1012893330,75,i
30,1021332450893541376,1012893330,74,i
31,3892072667,1012893330,74,i
32,1168820341092868096,1063806444380798976,74,i
33,304449851,4085520207,73,i
34,4774998749,1012893330,73,i
35,861671125033639941,80200885,72,i
36,2498940386,1063806444380798976,71,i
37,1047987218,1012893330,71,i
38,273897097,1063806444380798976,70,i
39,525853329,886683069964484609,69,i
40,2970015723,1012893330,69,i
41,2665337999,1063806444380798976,68,i
42,969668587731456000,1012893330,68,i
43,1219944530,4085520207,68,i
44,1089107530247221249,882965185237065728,68,i
45,53074807,1063806444380798976,67,i
46,53074807,80200885,67,i
47,1093535050757476355,886683069964484609,67,i
48,1179592608886198273,469212336,67,i
49,2665337999,80200885,66,i
50,304449851,1063806444380798976,65,i
51,945202600051462145,1063806444380798976,65,i
52,896479197081853956,1063806444380798976,65,i
53,1219944530,1063806444380798976,64,i
54,525853329,882965185237065728,64,i
55,1114447591138308096,1012893330,64,i
56,896479197081853956,882965185237065728,64,i
57,4916678961,1012893330,64,i
58,849294338706345984,1012893330,64,i
59,822771178112749568,1012893330,63,i
60,1094513309620101120,1012893330,63,i
61,1219944530,80200885,63,i
62,1087434954487795715,1012893330,63,i
63,2535751839,1063806444380798976,63,i
64,695981551973179392,1012893330,62,i
65,1090595328460509190,1063806444380798976,61,i
66,748814100650610688,1012893330,61,i
67,1248307267,1012893330,61,i
68,330554495,80200885,61,i
69,2535751839,882965185237065728,61,i
70,2730115977,1012893330,60,i
71,715839580939948032,1012893330,60,i
72,273897097,923171889891209217,60,i
73,1042906497129361408,886683069964484609,59,i
74,100878763,886683069964484609,59,i
75,304449851,882965185237065728,59,i
76,995982195171975168,1063806444380798976,58,i
77,3327831430,1063806444380798976,58,i
78,945202600051462145,886683069964484609,58,i
79,411295303,1012893330,58,i
80,100878763,1063806444380798976,57,i
81,2665337999,886683069964484609,57,i
82,2657120268,1012893330,57,i
83,3301418445,80200885,57,i
84,304449851,886683069964484609,56,i
85,896479197081853956,886683069964484609,56,i
86,525853329,80200885,56,i
87,3179223957,80200885,56,i
88,896479197081853956,80200885,56,i
89,80200885,886683069964484609,55,i
90,829050396765220867,1012893330,55,i
91,4924190242,1012893330,55,i
92,982973540310880256,1063806444380798976,54,i
93,1219944530,882965185237065728,54,i
94,1063806444380798976,80200885,54,i
95,2470692079,4085520207,53,i
96,3951721642,80200885,53,i
97,824215230846791680,1063806444380798976,53,i
98,48142375,1063806444380798976,53,i
99,48142375,80200885,53,i
0,1168820341092868096,80200885,42,ii
1,3327831430,882965185237065728,42,ii
2,882965185237065728,80200885,38,ii
3,273897097,80200885,38,ii
4,710579736519512064,80200885,38,ii
5,1021332450893541376,1012893330,36,ii
6,704779333307650048,80200885,35,ii
7,273897097,4085520207,33,ii
8,3327831430,80200885,33,ii
9,304449851,80200885,32,ii
10,1248307267,1012893330,32,ii
11,2665337999,80200885,31,ii
12,1087434954487795715,1012893330,31,ii
13,710579736519512064,1063806444380798976,29,ii
14,863414554679808002,80200885,29,ii
15,1033047670938587137,1012893330,29,ii
16,969668587731456000,1012893330,29,ii
17,2665337999,1063806444380798976,28,ii
18,849294338706345984,1012893330,28,ii
19,2498940386,1063806444380798976,27,ii
20,1043499474289655808,1012893330,27,ii
21,896048840947765249,80200885,26,ii
