,id_usr,in_degree,out_degree,community,RMC,time_window
0,3327831430,2,74,1,1.0,i
1,740836280481808384,0,2,2,1.0,i
2,999034182,0,1,2,1.0,i
3,807236854055571459,0,1,2,1.0,i
4,1675388155,0,1,2,1.0,i
5,1493205397,0,1,2,1.0,i
6,2164608279,0,2,2,1.0,i
7,950482698,0,3,1,1.0,i
8,3025288924,0,2,2,1.0,i
9,2348839195,0,1,2,1.0,i
0,1168820341092868096,1,19,3,1.0,ii
1,864953899,0,1,1,1.0,ii
2,226674304,0,1,1,1.0,ii
3,3163571728,0,1,1,1.0,ii
4,794136385,0,1,1,1.0,ii
5,857336834397016064,0,1,1,1.0,ii
6,172501943,0,1,1,1.0,ii
7,1039150050843275264,0,1,3,1.0,ii
8,464822421,0,1,3,1.0,ii
9,931543752,0,1,3,1.0,ii
0,2498940386,0,59,1,1.0,iii
1,1528304851,0,1,3,1.0,iii
2,1301683522864807937,0,2,3,1.0,iii
3,2748978328,0,1,3,1.0,iii
4,894264447618961413,0,1,3,1.0,iii
5,2740534820,0,1,3,1.0,iii
6,382330251,0,1,2,1.0,iii
7,377997682,0,1,2,1.0,iii
8,59436969,0,1,2,1.0,iii
9,1961241529,0,1,2,1.0,iii
0,884023737745645572,1,189,2,1.0,iv
1,838409034894098432,0,2,2,1.0,iv
2,1251142364879441920,0,5,1,1.0,iv
3,1173356970,0,1,2,1.0,iv
4,472102509,0,5,2,1.0,iv
5,399250106,0,1,1,1.0,iv
6,861270869926170624,0,1,2,1.0,iv
7,2365841904,0,3,2,1.0,iv
8,787030705,0,1,2,1.0,iv
9,3377213525,0,1,2,1.0,iv
0,1000144495499993089,1048,22,1,1.0,v
1,3335243639,0,2,1,1.0,v
2,1354382245369405441,0,1,1,1.0,v
3,1353757369780592655,0,1,1,1.0,v
4,509190426,0,1,2,1.0,v
5,2897935623,0,1,2,1.0,v
6,720577220,0,2,2,1.0,v
7,3180585735,0,1,2,1.0,v
8,2886744874,1,1,2,1.0,v
9,463352690,0,1,2,1.0,v
0,424152162,0,1,2,1.0,vi
1,2748336785,0,4,1,1.0,vi
2,341103822,0,2,2,1.0,vi
3,132617752,0,1,2,1.0,vi
4,1229321757787672582,0,2,1,1.0,vi
5,864955824,0,3,2,1.0,vi
6,391626604,1,0,2,1.0,vi
7,173006814,0,1,1,1.0,vi
8,1297534640014667778,0,1,2,1.0,vi
9,69237269,0,1,2,1.0,vi
